T,PA0,PB0,t,fA
500.0,0.5,1.5,1.0,0.15
500.0,0.5,1.5,1.5,0.209
500.0,0.5,1.5,2.0,0.269
500.0,0.5,1.5,2.5,0.327
500.0,0.5,1.5,5.0,0.527
500.0,0.5,1.5,10.0,0.748
500.0,1.0,0.5,0.5,0.033
500.0,1.0,0.5,1.0,0.061
500.0,1.0,0.5,1.5,0.076
500.0,1.0,0.5,2.0,0.09
500.0,1.0,0.5,2.5,0.121
500.0,1.0,0.5,5.0,0.198
500.0,1.0,0.5,10.0,0.306
500.0,1.0,1.0,0.5,0.062
500.0,1.0,1.0,1.0,0.092
500.0,1.0,1.0,1.5,0.134
500.0,1.0,1.0,2.0,0.183
500.0,1.0,1.0,2.5,0.221
500.0,1.0,1.0,5.0,0.364
500.0,1.0,1.0,10.0,0.521
500.0,1.0,1.5,0.5,0.081
500.0,1.0,1.5,1.0,0.154
500.0,1.0,1.5,1.5,0.209
500.0,1.0,1.5,2.0,0.252
500.0,1.0,1.5,2.5,0.303
500.0,1.0,1.5,5.0,0.498
500.0,1.0,1.5,10.0,0.688
500.0,1.5,0.5,0.5,0.028
500.0,1.5,0.5,1.0,0.043
500.0,1.5,0.5,1.5,0.07
500.0,1.5,0.5,2.0,0.101
500.0,1.5,0.5,2.5,0.116
500.0,1.5,0.5,5.0,0.176
500.0,1.5,0.5,10.0,0.246
500.0,1.5,1.0,0.5,0.049
500.0,1.5,1.0,1.0,0.102
500.0,1.5,1.0,1.5,0.142
500.0,1.5,1.0,2.0,0.172
500.0,1.5,1.0,2.5,0.204
500.0,1.5,1.0,5.0,0.318
500.0,1.5,1.0,10.0,0.458
500.0,1.5,1.5,0.5,0.071
500.0,1.5,1.5,1.0,0.146
500.0,1.5,1.5,1.5,0.208
500.0,1.5,1.5,2.0,0.249
500.0,1.5,1.5,2.5,0.291
500.0,1.5,1.5,5.0,0.462
500.0,1.5,1.5,10.0,0.635
525.0,0.5,0.5,0.5,0.045
525.0,0.5,0.5,1.0,0.081
525.0,0.5,0.5,1.5,0.126
525.0,0.5,0.5,2.0,0.156
525.0,0.5,0.5,2.5,0.187
525.0,0.5,0.5,5.0,0.312
525.0,0.5,0.5,10.0,0.473
525.0,0.5,1.0,0.5,0.078
525.0,0.5,1.0,1.0,0.166
525.0,0.5,1.0,1.5,0.231
525.0,0.5,1.0,2.0,0.276
525.0,0.5,1.0,2.5,0.342
525.0,0.5,1.0,5.0,0.524
525.0,0.5,1.0,10.0,0.748
525.0,0.5,1.5,0.5,0.121
525.0,0.5,1.5,1.0,0.222
525.0,0.5,1.5,1.5,0.314
525.0,0.5,1.5,2.0,0.384
525.0,0.5,1.5,2.5,0.466
525.0,0.5,1.5,5.0,0.691
525.0,0.5,1.5,10.0,0.878
525.0,1.0,0.5,0.5,0.049
525.0,1.0,0.5,1.0,0.088
525.0,1.0,0.5,1.5,0.104
525.0,1.0,0.5,2.0,0.139
525.0,1.0,0.5,2.5,0.169
525.0,1.0,0.5,5.0,0.263
525.0,1.0,0.5,10.0,0.38
525.0,1.0,1.0,0.5,0.091
525.0,1.0,1.0,1.0,0.153
525.0,1.0,1.0,1.5,0.211
525.0,1.0,1.0,2.0,0.267
525.0,1.0,1.0,2.5,0.311
525.0,1.0,1.0,5.0,0.475
525.0,1.0,1.0,10.0,0.639
525.0,1.0,1.5,0.5,0.126
525.0,1.0,1.5,1.0,0.221
525.0,1.0,1.5,1.5,0.309
525.0,1.0,1.5,2.0,0.368
525.0,1.0,1.5,2.5,0.427
525.0,1.0,1.5,5.0,0.634
525.0,1.0,1.5,10.0,0.806
525.0,1.5,0.5,0.5,0.035
525.0,1.5,0.5,1.0,0.07
525.0,1.5,0.5,1.5,0.099
525.0,1.5,0.5,2.0,0.138
525.0,1.5,0.5,2.5,0.151
525.0,1.5,0.5,5.0,0.224
525.0,1.5,0.5,10.0,0.3
525.0,1.5,1.0,0.5,0.086
525.0,1.5,1.0,1.0,0.152
525.0,1.5,1.0,1.5,0.198
525.0,1.5,1.0,2.0,0.238
525.0,1.5,1.0,2.5,0.277
525.0,1.5,1.0,5.0,0.419
525.0,1.5,1.0,10.0,0.551
525.0,1.5,1.5,0.5,0.126
525.0,1.5,1.5,1.0,0.22
525.0,1.5,1.5,1.5,0.281
525.0,1.5,1.5,2.0,0.353
525.0,1.5,1.5,2.5,0.395
525.0,1.5,1.5,5.0,0.575
525.0,1.5,1.5,10.0,0.728
