VFR,CAin,CYin,CZin,CA
1.0,0.02,0.02,0.01,0.0149
1.0,0.02,0.02,0.02,0.0166
1.0,0.02,0.02,0.03,0.0176
1.0,0.02,0.03,0.0,0.0142
1.0,0.02,0.03,0.01,0.0149
1.0,0.02,0.03,0.02,0.0171
1.0,0.02,0.03,0.03,0.0192
1.0,0.03,0.0,0.0,0.0163
1.0,0.03,0.0,0.01,0.019
1.0,0.03,0.0,0.02,0.0175
1.0,0.03,0.0,0.03,0.02
1.0,0.03,0.01,0.0,0.0185
1.0,0.03,0.01,0.01,0.0199
1.0,0.03,0.01,0.02,0.0211
1.0,0.03,0.01,0.03,0.0209
1.0,0.03,0.02,0.0,0.0192
1.0,0.03,0.02,0.01,0.0214
1.0,0.03,0.02,0.02,0.0213
1.0,0.03,0.02,0.03,0.0232
1.0,0.03,0.03,0.0,0.0184
1.0,0.03,0.03,0.01,0.02
1.0,0.03,0.03,0.02,0.0212
1.0,0.03,0.03,0.03,0.023
1.5,0.01,0.0,0.0,0.0076
1.5,0.01,0.0,0.01,0.0078
1.5,0.01,0.0,0.02,0.0079
1.5,0.01,0.0,0.03,0.0083
1.5,0.01,0.01,0.0,0.0085
1.5,0.01,0.01,0.01,0.0084
1.5,0.01,0.01,0.02,0.0095
1.5,0.01,0.01,0.03,0.0098
1.5,0.01,0.02,0.0,0.0084
1.5,0.01,0.02,0.01,0.0092
1.5,0.01,0.02,0.02,0.0108
1.5,0.01,0.02,0.03,0.0117
1.5,0.01,0.03,0.0,0.008
1.5,0.01,0.03,0.01,0.0094
1.5,0.01,0.03,0.02,0.0116
1.5,0.01,0.03,0.03,0.0126
1.5,0.02,0.0,0.0,0.0145
1.5,0.02,0.0,0.01,0.0139
1.5,0.02,0.0,0.02,0.0151
1.5,0.02,0.0,0.03,0.0141
1.5,0.02,0.01,0.0,0.0152
1.5,0.02,0.01,0.01,0.0141
1.5,0.02,0.01,0.02,0.0149
1.5,0.02,0.01,0.03,0.0168
1.5,0.02,0.02,0.0,0.0151
1.5,0.02,0.02,0.01,0.0151
1.5,0.02,0.02,0.02,0.0174
1.5,0.02,0.02,0.03,0.0177
1.5,0.02,0.03,0.0,0.0142
1.5,0.02,0.03,0.01,0.0167
1.5,0.02,0.03,0.02,0.0177
1.5,0.02,0.03,0.03,0.0183
1.5,0.03,0.0,0.0,0.0206
1.5,0.03,0.0,0.01,0.0186
1.5,0.03,0.0,0.02,0.0213
1.5,0.03,0.0,0.03,0.0211
1.5,0.03,0.01,0.0,0.019
1.5,0.03,0.01,0.01,0.0202
1.5,0.03,0.01,0.02,0.0224
1.5,0.03,0.01,0.03,0.0227
1.5,0.03,0.02,0.0,0.0187
1.5,0.03,0.02,0.01,0.0204
1.5,0.03,0.02,0.02,0.0209
1.5,0.03,0.02,0.03,0.0217
1.5,0.03,0.03,0.0,0.0203
1.5,0.03,0.03,0.01,0.0221
1.5,0.03,0.03,0.02,0.0235
1.5,0.03,0.03,0.03,0.0237
2.0,0.01,0.0,0.0,0.0081
2.0,0.01,0.0,0.01,0.0081
2.0,0.01,0.0,0.02,0.0084
2.0,0.01,0.0,0.03,0.0087
2.0,0.01,0.01,0.0,0.0085
2.0,0.01,0.01,0.01,0.0088
2.0,0.01,0.01,0.02,0.0092
2.0,0.01,0.01,0.03,0.01
2.0,0.01,0.02,0.0,0.0081
2.0,0.01,0.02,0.01,0.0094
2.0,0.01,0.02,0.02,0.0104
2.0,0.01,0.02,0.03,0.0114
2.0,0.01,0.03,0.0,0.0086
2.0,0.01,0.03,0.01,0.0095
2.0,0.01,0.03,0.02,0.0106
2.0,0.01,0.03,0.03,0.0126
2.0,0.02,0.0,0.0,0.0151
2.0,0.02,0.0,0.01,0.0149
2.0,0.02,0.0,0.02,0.0159
2.0,0.02,0.0,0.03,0.0154
2.0,0.02,0.01,0.0,0.0142
2.0,0.02,0.01,0.01,0.0166
2.0,0.02,0.01,0.02,0.0153
2.0,0.02,0.01,0.03,0.0159
2.0,0.02,0.02,0.0,0.0159
2.0,0.02,0.02,0.01,0.0159
2.0,0.02,0.02,0.02,0.0171
2.0,0.02,0.02,0.03,0.017
2.0,0.02,0.03,0.0,0.0162
2.0,0.02,0.03,0.01,0.0176
2.0,0.02,0.03,0.02,0.0172
2.0,0.02,0.03,0.03,0.0187
2.0,0.03,0.0,0.0,0.0208
2.0,0.03,0.0,0.01,0.0211
2.0,0.03,0.0,0.02,0.0222
2.0,0.03,0.0,0.03,0.021
2.0,0.03,0.01,0.0,0.0216
2.0,0.03,0.01,0.01,0.0219
2.0,0.03,0.01,0.02,0.0212
2.0,0.03,0.01,0.03,0.0213
2.0,0.03,0.02,0.0,0.0206
2.0,0.03,0.02,0.01,0.0227
2.0,0.03,0.02,0.02,0.0217
2.0,0.03,0.02,0.03,0.024
2.0,0.03,0.03,0.0,0.0215
2.0,0.03,0.03,0.01,0.0212
2.0,0.03,0.03,0.02,0.0244
2.0,0.03,0.03,0.03,0.0257
2.5,0.01,0.0,0.0,0.0083
2.5,0.01,0.0,0.01,0.0089
2.5,0.01,0.0,0.02,0.0084
2.5,0.01,0.0,0.03,0.0089
2.5,0.01,0.01,0.0,0.0088
2.5,0.01,0.01,0.01,0.0089
2.5,0.01,0.01,0.02,0.0097
2.5,0.01,0.01,0.03,0.0104
2.5,0.01,0.02,0.0,0.0083
2.5,0.01,0.02,0.01,0.0095
2.5,0.01,0.02,0.02,0.0103
2.5,0.01,0.02,0.03,0.0114
2.5,0.01,0.03,0.0,0.0084
2.5,0.01,0.03,0.01,0.0095
2.5,0.01,0.03,0.02,0.0111
2.5,0.01,0.03,0.03,0.0115
2.5,0.02,0.0,0.0,0.0162
2.5,0.02,0.0,0.01,0.0154
2.5,0.02,0.0,0.02,0.0156
2.5,0.02,0.0,0.03,0.0168
2.5,0.02,0.01,0.0,0.0149
2.5,0.02,0.01,0.01,0.016
2.5,0.02,0.01,0.02,0.0169
2.5,0.02,0.01,0.03,0.0165
2.5,0.02,0.02,0.0,0.0157
2.5,0.02,0.02,0.01,0.0174
2.5,0.02,0.02,0.02,0.0165
2.5,0.02,0.02,0.03,0.0177
2.5,0.02,0.03,0.0,0.016
2.5,0.02,0.03,0.01,0.0174
2.5,0.02,0.03,0.02,0.0183
2.5,0.02,0.03,0.03,0.0189
2.5,0.03,0.0,0.0,0.0229
2.5,0.03,0.0,0.01,0.0207
2.5,0.03,0.0,0.02,0.0207
2.5,0.03,0.0,0.03,0.0225
2.5,0.03,0.01,0.0,0.023
2.5,0.03,0.01,0.01,0.0236
2.5,0.03,0.01,0.02,0.0234
2.5,0.03,0.01,0.03,0.0234
2.5,0.03,0.02,0.0,0.0206
2.5,0.03,0.02,0.01,0.0238
2.5,0.03,0.02,0.02,0.0248
2.5,0.03,0.02,0.03,0.0249
2.5,0.03,0.03,0.0,0.0229
2.5,0.03,0.03,0.01,0.0237
2.5,0.03,0.03,0.02,0.0256
2.5,0.03,0.03,0.03,0.026
