VFR,CAin,CBin,CYin,CZin,CYout
50.0,1.0,2.5,2.5,1.0,3.42
50.0,1.0,2.5,2.5,2.5,3.32
50.0,1.0,2.5,2.5,5.0,3.12
50.0,1.0,2.5,5.0,0.5,5.95
50.0,1.0,2.5,5.0,1.0,5.92
50.0,1.0,2.5,5.0,2.5,5.81
50.0,1.0,2.5,5.0,5.0,5.63
50.0,1.0,5.0,0.5,0.5,1.49
50.0,1.0,5.0,0.5,1.0,1.47
50.0,1.0,5.0,0.5,2.5,1.4
50.0,1.0,5.0,0.5,5.0,1.27
50.0,1.0,5.0,1.0,0.5,1.98
50.0,1.0,5.0,1.0,1.0,1.96
50.0,1.0,5.0,1.0,2.5,1.92
50.0,1.0,5.0,1.0,5.0,1.77
50.0,1.0,5.0,2.5,0.5,3.47
50.0,1.0,5.0,2.5,1.0,3.48
50.0,1.0,5.0,2.5,2.5,3.41
50.0,1.0,5.0,2.5,5.0,3.29
50.0,1.0,5.0,5.0,0.5,5.98
50.0,1.0,5.0,5.0,1.0,5.97
50.0,1.0,5.0,5.0,2.5,5.9
50.0,1.0,5.0,5.0,5.0,5.78
50.0,2.5,0.5,0.5,0.5,0.99
50.0,2.5,0.5,0.5,1.0,0.98
50.0,2.5,0.5,0.5,2.5,0.93
50.0,2.5,0.5,0.5,5.0,0.84
50.0,2.5,0.5,1.0,0.5,1.49
50.0,2.5,0.5,1.0,1.0,1.47
50.0,2.5,0.5,1.0,2.5,1.44
50.0,2.5,0.5,1.0,5.0,1.33
50.0,2.5,0.5,2.5,0.5,3.0
50.0,2.5,0.5,2.5,1.0,2.98
50.0,2.5,0.5,2.5,2.5,2.94
50.0,2.5,0.5,2.5,5.0,2.85
50.0,2.5,0.5,5.0,0.5,5.48
50.0,2.5,0.5,5.0,1.0,5.48
50.0,2.5,0.5,5.0,2.5,5.44
50.0,2.5,0.5,5.0,5.0,5.35
50.0,2.5,1.0,0.5,0.5,1.45
50.0,2.5,1.0,0.5,1.0,1.43
50.0,2.5,1.0,0.5,2.5,1.3
50.0,2.5,1.0,0.5,5.0,1.13
50.0,2.5,1.0,1.0,0.5,1.95
50.0,2.5,1.0,1.0,1.0,1.93
50.0,2.5,1.0,1.0,2.5,1.8
50.0,2.5,1.0,1.0,5.0,1.62
50.0,2.5,1.0,2.5,0.5,3.44
50.0,2.5,1.0,2.5,1.0,3.42
50.0,2.5,1.0,2.5,2.5,3.3
50.0,2.5,1.0,2.5,5.0,3.12
50.0,2.5,1.0,5.0,0.5,5.94
50.0,2.5,1.0,5.0,1.0,5.93
50.0,2.5,1.0,5.0,2.5,5.81
50.0,2.5,1.0,5.0,5.0,5.62
50.0,2.5,2.5,0.5,0.5,2.38
50.0,2.5,2.5,0.5,1.0,2.29
50.0,2.5,2.5,0.5,2.5,2.04
50.0,2.5,2.5,0.5,5.0,1.71
50.0,2.5,2.5,1.0,0.5,2.88
50.0,2.5,2.5,1.0,1.0,2.78
50.0,2.5,2.5,1.0,2.5,2.55
50.0,2.5,2.5,1.0,5.0,2.2
50.0,2.5,2.5,2.5,0.5,4.38
50.0,2.5,2.5,2.5,1.0,4.29
50.0,2.5,2.5,2.5,2.5,4.05
50.0,2.5,2.5,2.5,5.0,3.7
50.0,2.5,2.5,5.0,0.5,6.89
50.0,2.5,2.5,5.0,1.0,6.8
50.0,2.5,2.5,5.0,2.5,6.54
50.0,2.5,2.5,5.0,5.0,6.21
50.0,2.5,5.0,0.5,0.5,2.76
50.0,2.5,5.0,0.5,1.0,2.71
50.0,2.5,5.0,0.5,2.5,2.51
50.0,2.5,5.0,0.5,5.0,2.18
50.0,2.5,5.0,1.0,0.5,3.27
50.0,2.5,5.0,1.0,1.0,3.21
50.0,2.5,5.0,1.0,2.5,3.01
50.0,2.5,5.0,1.0,5.0,2.67
50.0,2.5,5.0,2.5,0.5,4.77
50.0,2.5,5.0,2.5,1.0,4.7
50.0,2.5,5.0,2.5,2.5,4.51
50.0,2.5,5.0,2.5,5.0,4.18
50.0,2.5,5.0,5.0,0.5,7.27
50.0,2.5,5.0,5.0,1.0,7.2
50.0,2.5,5.0,5.0,2.5,7.0
50.0,2.5,5.0,5.0,5.0,6.69
50.0,5.0,0.5,0.5,0.5,1.0
50.0,5.0,0.5,0.5,1.0,0.99
50.0,5.0,0.5,0.5,2.5,0.96
50.0,5.0,0.5,0.5,5.0,0.9
50.0,5.0,0.5,1.0,0.5,1.5
50.0,5.0,0.5,1.0,1.0,1.5
50.0,5.0,0.5,1.0,2.5,1.46
50.0,5.0,0.5,1.0,5.0,1.41
50.0,5.0,0.5,2.5,0.5,2.99
50.0,5.0,0.5,2.5,1.0,3.0
50.0,5.0,0.5,2.5,2.5,2.97
50.0,5.0,0.5,2.5,5.0,2.91
50.0,5.0,0.5,5.0,0.5,5.5
50.0,5.0,0.5,5.0,1.0,5.49
50.0,5.0,0.5,5.0,2.5,5.47
50.0,5.0,0.5,5.0,5.0,5.4
50.0,5.0,1.0,0.5,0.5,1.49
50.0,5.0,1.0,0.5,1.0,1.46
50.0,5.0,1.0,0.5,2.5,1.41
50.0,5.0,1.0,0.5,5.0,1.28
50.0,5.0,1.0,1.0,0.5,1.99
50.0,5.0,1.0,1.0,1.0,1.97
50.0,5.0,1.0,1.0,2.5,1.9
50.0,5.0,1.0,1.0,5.0,1.78
50.0,5.0,1.0,2.5,0.5,3.47
50.0,5.0,1.0,2.5,1.0,3.46
50.0,5.0,1.0,2.5,2.5,3.4
50.0,5.0,1.0,2.5,5.0,3.29
50.0,5.0,1.0,5.0,0.5,5.99
50.0,5.0,1.0,5.0,1.0,5.96
50.0,5.0,1.0,5.0,2.5,5.9
50.0,5.0,1.0,5.0,5.0,5.78
50.0,5.0,2.5,0.5,0.5,2.77
50.0,5.0,2.5,0.5,1.0,2.7
50.0,5.0,2.5,0.5,2.5,2.5
50.0,5.0,2.5,0.5,5.0,2.19
50.0,5.0,2.5,1.0,0.5,3.27
50.0,5.0,2.5,1.0,1.0,3.21
50.0,5.0,2.5,1.0,2.5,3.0
50.0,5.0,2.5,1.0,5.0,2.69
50.0,5.0,2.5,2.5,0.5,4.77
50.0,5.0,2.5,2.5,1.0,4.71
50.0,5.0,2.5,2.5,2.5,4.51
50.0,5.0,2.5,2.5,5.0,4.19
50.0,5.0,2.5,5.0,0.5,7.27
50.0,5.0,2.5,5.0,1.0,7.2
50.0,5.0,2.5,5.0,2.5,7.01
50.0,5.0,2.5,5.0,5.0,6.68
50.0,5.0,5.0,0.5,0.5,4.04
50.0,5.0,5.0,0.5,1.0,3.93
50.0,5.0,5.0,0.5,2.5,3.62
50.0,5.0,5.0,0.5,5.0,3.15
50.0,5.0,5.0,1.0,0.5,4.55
50.0,5.0,5.0,1.0,1.0,4.44
50.0,5.0,5.0,1.0,2.5,4.12
50.0,5.0,5.0,1.0,5.0,3.64
50.0,5.0,5.0,2.5,0.5,6.05
50.0,5.0,5.0,2.5,1.0,5.94
50.0,5.0,5.0,2.5,2.5,5.61
50.0,5.0,5.0,2.5,5.0,5.14
50.0,5.0,5.0,5.0,0.5,8.54
50.0,5.0,5.0,5.0,1.0,8.44
50.0,5.0,5.0,5.0,2.5,8.11
50.0,5.0,5.0,5.0,5.0,7.65
100.0,0.5,0.5,0.5,0.5,0.86
100.0,0.5,0.5,0.5,1.0,0.81
100.0,0.5,0.5,0.5,2.5,0.69
100.0,0.5,0.5,0.5,5.0,0.59
100.0,0.5,0.5,1.0,0.5,1.35
100.0,0.5,0.5,1.0,1.0,1.3
100.0,0.5,0.5,1.0,2.5,1.19
100.0,0.5,0.5,1.0,5.0,1.1
100.0,0.5,0.5,2.5,0.5,2.87
100.0,0.5,0.5,2.5,1.0,2.81
100.0,0.5,0.5,2.5,2.5,2.7
100.0,0.5,0.5,2.5,5.0,2.59
100.0,0.5,0.5,5.0,0.5,5.36
100.0,0.5,0.5,5.0,1.0,5.31
100.0,0.5,0.5,5.0,2.5,5.18
100.0,0.5,0.5,5.0,5.0,5.09
100.0,0.5,1.0,0.5,0.5,0.94
100.0,0.5,1.0,0.5,1.0,0.91
100.0,0.5,1.0,0.5,2.5,0.78
100.0,0.5,1.0,0.5,5.0,0.65
100.0,0.5,1.0,1.0,0.5,1.45
100.0,0.5,1.0,1.0,1.0,1.4
100.0,0.5,1.0,1.0,2.5,1.28
100.0,0.5,1.0,1.0,5.0,1.15
100.0,0.5,1.0,2.5,0.5,2.94
100.0,0.5,1.0,2.5,1.0,2.91
100.0,0.5,1.0,2.5,2.5,2.79
100.0,0.5,1.0,2.5,5.0,2.65
100.0,0.5,1.0,5.0,0.5,5.44
100.0,0.5,1.0,5.0,1.0,5.41
100.0,0.5,1.0,5.0,2.5,5.28
100.0,0.5,1.0,5.0,5.0,5.16
100.0,0.5,2.5,0.5,0.5,0.99
100.0,0.5,2.5,0.5,1.0,0.97
100.0,0.5,2.5,0.5,2.5,0.89
100.0,0.5,2.5,0.5,5.0,0.77
100.0,0.5,2.5,1.0,0.5,1.48
100.0,0.5,2.5,1.0,1.0,1.47
100.0,0.5,2.5,1.0,2.5,1.39
100.0,0.5,2.5,1.0,5.0,1.26
100.0,0.5,2.5,2.5,0.5,2.98
100.0,0.5,2.5,2.5,1.0,2.96
100.0,0.5,2.5,2.5,2.5,2.88
100.0,0.5,2.5,2.5,5.0,2.77
100.0,0.5,2.5,5.0,0.5,5.48
100.0,0.5,2.5,5.0,1.0,5.47
100.0,0.5,2.5,5.0,2.5,5.39
100.0,0.5,2.5,5.0,5.0,5.27
100.0,0.5,5.0,0.5,0.5,0.99
100.0,0.5,5.0,0.5,1.0,0.98
100.0,0.5,5.0,0.5,2.5,0.94
100.0,0.5,5.0,0.5,5.0,0.84
100.0,0.5,5.0,1.0,0.5,1.48
100.0,0.5,5.0,1.0,1.0,1.49
100.0,0.5,5.0,1.0,2.5,1.44
100.0,0.5,5.0,1.0,5.0,1.35
100.0,0.5,5.0,2.5,0.5,2.99
100.0,0.5,5.0,2.5,1.0,2.97
100.0,0.5,5.0,2.5,2.5,2.94
100.0,0.5,5.0,2.5,5.0,2.85
100.0,0.5,5.0,5.0,0.5,5.49
100.0,0.5,5.0,5.0,1.0,5.48
100.0,0.5,5.0,5.0,2.5,5.45
100.0,0.5,5.0,5.0,5.0,5.35
100.0,1.0,0.5,0.5,0.5,0.95
100.0,1.0,0.5,0.5,1.0,0.9
100.0,1.0,0.5,0.5,2.5,0.77
100.0,1.0,0.5,0.5,5.0,0.65
100.0,1.0,0.5,1.0,0.5,1.45
100.0,1.0,0.5,1.0,1.0,1.4
100.0,1.0,0.5,1.0,2.5,1.29
100.0,1.0,0.5,1.0,5.0,1.15
100.0,1.0,0.5,2.5,0.5,2.95
100.0,1.0,0.5,2.5,1.0,2.9
100.0,1.0,0.5,2.5,2.5,2.79
100.0,1.0,0.5,2.5,5.0,2.65
100.0,1.0,0.5,5.0,0.5,5.45
100.0,1.0,0.5,5.0,1.0,5.4
100.0,1.0,0.5,5.0,2.5,5.29
100.0,1.0,0.5,5.0,5.0,5.15
100.0,1.0,1.0,0.5,0.5,1.21
100.0,1.0,1.0,0.5,1.0,1.14
100.0,1.0,1.0,0.5,2.5,0.95
100.0,1.0,1.0,0.5,5.0,0.77
100.0,1.0,1.0,1.0,0.5,1.72
100.0,1.0,1.0,1.0,1.0,1.65
100.0,1.0,1.0,1.0,2.5,1.45
100.0,1.0,1.0,1.0,5.0,1.27
100.0,1.0,1.0,2.5,0.5,3.23
100.0,1.0,1.0,2.5,1.0,3.15
100.0,1.0,1.0,2.5,2.5,2.96
100.0,1.0,1.0,2.5,5.0,2.77
100.0,1.0,1.0,5.0,0.5,5.72
100.0,1.0,1.0,5.0,1.0,5.64
100.0,1.0,1.0,5.0,2.5,5.45
100.0,1.0,1.0,5.0,5.0,5.27
100.0,1.0,2.5,0.5,0.5,1.42
100.0,1.0,2.5,0.5,1.0,1.36
100.0,1.0,2.5,0.5,2.5,1.2
100.0,1.0,2.5,0.5,5.0,0.98
100.0,1.0,2.5,1.0,0.5,1.92
100.0,1.0,2.5,1.0,1.0,1.86
100.0,1.0,2.5,1.0,2.5,1.71
100.0,1.0,2.5,1.0,5.0,1.49
100.0,1.0,2.5,2.5,0.5,3.42
100.0,1.0,2.5,2.5,1.0,3.36
100.0,1.0,2.5,2.5,2.5,3.2
100.0,1.0,2.5,2.5,5.0,2.98
100.0,1.0,2.5,5.0,0.5,5.91
100.0,1.0,2.5,5.0,1.0,5.87
100.0,1.0,2.5,5.0,2.5,5.7
100.0,1.0,2.5,5.0,5.0,5.48
100.0,1.0,5.0,0.5,0.5,1.45
100.0,1.0,5.0,0.5,1.0,1.44
100.0,1.0,5.0,0.5,2.5,1.34
100.0,1.0,5.0,0.5,5.0,1.14
100.0,1.0,5.0,1.0,0.5,1.97
100.0,1.0,5.0,1.0,1.0,1.94
100.0,1.0,5.0,1.0,2.5,1.83
100.0,1.0,5.0,1.0,5.0,1.66
100.0,1.0,5.0,2.5,0.5,3.47
100.0,1.0,5.0,2.5,1.0,3.44
100.0,1.0,5.0,2.5,2.5,3.35
100.0,1.0,5.0,2.5,5.0,3.16
100.0,1.0,5.0,5.0,0.5,5.96
100.0,1.0,5.0,5.0,1.0,5.93
100.0,1.0,5.0,5.0,2.5,5.83
100.0,1.0,5.0,5.0,5.0,5.64
100.0,2.5,0.5,0.5,0.5,0.98
100.0,2.5,0.5,0.5,1.0,0.96
100.0,2.5,0.5,0.5,2.5,0.89
100.0,2.5,0.5,0.5,5.0,0.77
100.0,2.5,0.5,1.0,0.5,1.49
100.0,2.5,0.5,1.0,1.0,1.47
100.0,2.5,0.5,1.0,2.5,1.39
100.0,2.5,0.5,1.0,5.0,1.27
100.0,2.5,0.5,2.5,0.5,2.98
100.0,2.5,0.5,2.5,1.0,2.96
100.0,2.5,0.5,2.5,2.5,2.9
100.0,2.5,0.5,2.5,5.0,2.76
100.0,2.5,0.5,5.0,0.5,5.49
100.0,2.5,0.5,5.0,1.0,5.46
100.0,2.5,0.5,5.0,2.5,5.39
100.0,2.5,0.5,5.0,5.0,5.27
100.0,2.5,1.0,0.5,0.5,1.41
100.0,2.5,1.0,0.5,1.0,1.36
100.0,2.5,1.0,0.5,2.5,1.2
100.0,2.5,1.0,0.5,5.0,0.99
100.0,2.5,1.0,1.0,0.5,1.91
100.0,2.5,1.0,1.0,1.0,1.86
100.0,2.5,1.0,1.0,2.5,1.7
100.0,2.5,1.0,1.0,5.0,1.47
100.0,2.5,1.0,2.5,0.5,3.42
100.0,2.5,1.0,2.5,1.0,3.36
100.0,2.5,1.0,2.5,2.5,3.21
100.0,2.5,1.0,2.5,5.0,2.98
100.0,2.5,1.0,5.0,0.5,5.92
100.0,2.5,1.0,5.0,1.0,5.86
100.0,2.5,1.0,5.0,2.5,5.7
100.0,2.5,1.0,5.0,5.0,5.49
100.0,2.5,2.5,0.5,0.5,2.21
100.0,2.5,2.5,0.5,1.0,2.1
100.0,2.5,2.5,0.5,2.5,1.82
100.0,2.5,2.5,0.5,5.0,1.45
100.0,2.5,2.5,1.0,0.5,2.73
100.0,2.5,2.5,1.0,1.0,2.61
100.0,2.5,2.5,1.0,2.5,2.32
100.0,2.5,2.5,1.0,5.0,1.95
100.0,2.5,2.5,2.5,0.5,4.21
100.0,2.5,2.5,2.5,1.0,4.12
100.0,2.5,2.5,2.5,2.5,3.82
100.0,2.5,2.5,2.5,5.0,3.45
100.0,2.5,2.5,5.0,0.5,6.73
100.0,2.5,2.5,5.0,1.0,6.62
100.0,2.5,2.5,5.0,2.5,6.31
100.0,2.5,2.5,5.0,5.0,5.94
100.0,2.5,5.0,0.5,0.5,2.63
100.0,2.5,5.0,0.5,1.0,2.53
100.0,2.5,5.0,0.5,2.5,2.28
100.0,2.5,5.0,0.5,5.0,1.88
100.0,2.5,5.0,1.0,0.5,3.13
100.0,2.5,5.0,1.0,1.0,3.05
100.0,2.5,5.0,1.0,2.5,2.77
100.0,2.5,5.0,1.0,5.0,2.38
100.0,2.5,5.0,2.5,0.5,4.64
100.0,2.5,5.0,2.5,1.0,4.53
100.0,2.5,5.0,2.5,2.5,4.27
100.0,2.5,5.0,2.5,5.0,3.89
100.0,2.5,5.0,5.0,0.5,7.12
100.0,2.5,5.0,5.0,1.0,7.04
100.0,2.5,5.0,5.0,2.5,6.77
100.0,2.5,5.0,5.0,5.0,6.39
100.0,5.0,0.5,0.5,0.5,1.0
100.0,5.0,0.5,0.5,1.0,0.98
100.0,5.0,0.5,0.5,2.5,0.94
100.0,5.0,0.5,0.5,5.0,0.85
100.0,5.0,0.5,1.0,0.5,1.49
100.0,5.0,0.5,1.0,1.0,1.48
100.0,5.0,0.5,1.0,2.5,1.44
100.0,5.0,0.5,1.0,5.0,1.34
100.0,5.0,0.5,2.5,0.5,2.99
100.0,5.0,0.5,2.5,1.0,2.97
100.0,5.0,0.5,2.5,2.5,2.94
100.0,5.0,0.5,2.5,5.0,2.85
100.0,5.0,0.5,5.0,0.5,5.5
100.0,5.0,0.5,5.0,1.0,5.49
100.0,5.0,0.5,5.0,2.5,5.45
100.0,5.0,0.5,5.0,5.0,5.36
100.0,5.0,1.0,0.5,0.5,1.46
100.0,5.0,1.0,0.5,1.0,1.43
100.0,5.0,1.0,0.5,2.5,1.33
100.0,5.0,1.0,0.5,5.0,1.15
100.0,5.0,1.0,1.0,0.5,1.97
100.0,5.0,1.0,1.0,1.0,1.94
100.0,5.0,1.0,1.0,2.5,1.83
100.0,5.0,1.0,1.0,5.0,1.65
100.0,5.0,1.0,2.5,0.5,3.47
100.0,5.0,1.0,2.5,1.0,3.43
100.0,5.0,1.0,2.5,2.5,3.34
100.0,5.0,1.0,2.5,5.0,3.16
100.0,5.0,1.0,5.0,0.5,5.96
100.0,5.0,1.0,5.0,1.0,5.94
100.0,5.0,1.0,5.0,2.5,5.84
100.0,5.0,1.0,5.0,5.0,5.65
100.0,5.0,2.5,0.5,0.5,2.63
100.0,5.0,2.5,0.5,1.0,2.54
100.0,5.0,2.5,0.5,2.5,2.28
100.0,5.0,2.5,0.5,5.0,1.87
100.0,5.0,2.5,1.0,0.5,3.12
100.0,5.0,2.5,1.0,1.0,3.03
100.0,5.0,2.5,1.0,2.5,2.78
100.0,5.0,2.5,1.0,5.0,2.39
100.0,5.0,2.5,2.5,0.5,4.63
100.0,5.0,2.5,2.5,1.0,4.54
100.0,5.0,2.5,2.5,2.5,4.27
100.0,5.0,2.5,2.5,5.0,3.87
100.0,5.0,2.5,5.0,0.5,7.13
100.0,5.0,2.5,5.0,1.0,7.04
100.0,5.0,2.5,5.0,2.5,6.76
100.0,5.0,2.5,5.0,5.0,6.38
100.0,5.0,5.0,0.5,0.5,3.72
100.0,5.0,5.0,0.5,1.0,3.57
100.0,5.0,5.0,0.5,2.5,3.19
100.0,5.0,5.0,0.5,5.0,2.67
100.0,5.0,5.0,1.0,0.5,4.21
100.0,5.0,5.0,1.0,1.0,4.08
100.0,5.0,5.0,1.0,2.5,3.71
100.0,5.0,5.0,1.0,5.0,3.18
100.0,5.0,5.0,2.5,0.5,5.71
100.0,5.0,5.0,2.5,1.0,5.58
100.0,5.0,5.0,2.5,2.5,5.2
100.0,5.0,5.0,2.5,5.0,4.66
100.0,5.0,5.0,5.0,0.5,8.21
100.0,5.0,5.0,5.0,1.0,8.09
100.0,5.0,5.0,5.0,2.5,7.7
100.0,5.0,5.0,5.0,5.0,7.17
