VFR,CAin,CYin,CZin,CA
2.0,0.03,0.01,0.03,0.0211
2.0,0.03,0.02,0.0,0.0205
2.0,0.03,0.02,0.01,0.0235
2.0,0.03,0.02,0.02,0.024
2.0,0.03,0.02,0.03,0.0235
2.0,0.03,0.03,0.0,0.0208
2.0,0.03,0.03,0.01,0.0218
2.0,0.03,0.03,0.02,0.0234
2.0,0.03,0.03,0.03,0.0244
2.5,0.01,0.0,0.0,0.0087
2.5,0.01,0.0,0.01,0.0089
2.5,0.01,0.0,0.02,0.009
2.5,0.01,0.0,0.03,0.0092
2.5,0.01,0.01,0.0,0.0089
2.5,0.01,0.01,0.01,0.0087
2.5,0.01,0.01,0.02,0.0094
2.5,0.01,0.01,0.03,0.0103
2.5,0.01,0.02,0.0,0.0085
2.5,0.01,0.02,0.01,0.0098
2.5,0.01,0.02,0.02,0.0098
2.5,0.01,0.02,0.03,0.0113
2.5,0.01,0.03,0.0,0.0083
2.5,0.01,0.03,0.01,0.0099
2.5,0.01,0.03,0.02,0.0111
2.5,0.01,0.03,0.03,0.012
2.5,0.02,0.0,0.0,0.015
2.5,0.02,0.0,0.01,0.0153
2.5,0.02,0.0,0.02,0.0168
2.5,0.02,0.0,0.03,0.0161
2.5,0.02,0.01,0.0,0.016
2.5,0.02,0.01,0.01,0.0163
2.5,0.02,0.01,0.02,0.0162
2.5,0.02,0.01,0.03,0.0175
2.5,0.02,0.02,0.0,0.0158
2.5,0.02,0.02,0.01,0.0163
2.5,0.02,0.02,0.02,0.018
2.5,0.02,0.02,0.03,0.0187
2.5,0.02,0.03,0.0,0.0166
2.5,0.02,0.03,0.01,0.0177
2.5,0.02,0.03,0.02,0.019
2.5,0.02,0.03,0.03,0.0192
2.5,0.03,0.0,0.0,0.0227
2.5,0.03,0.0,0.01,0.0205
2.5,0.03,0.0,0.02,0.0217
2.5,0.03,0.0,0.03,0.0217
2.5,0.03,0.01,0.0,0.0203
2.5,0.03,0.01,0.01,0.0228
2.5,0.03,0.01,0.02,0.0235
2.5,0.03,0.01,0.03,0.0239
2.5,0.03,0.02,0.0,0.0227
2.5,0.03,0.02,0.01,0.0215
2.5,0.03,0.02,0.02,0.0237
2.5,0.03,0.02,0.03,0.0255
2.5,0.03,0.03,0.0,0.022
2.5,0.03,0.03,0.01,0.0224
2.5,0.03,0.03,0.02,0.025
2.5,0.03,0.03,0.03,0.0253
