T,PA0,PB0,t,fA
525.0,0.5,0.5,1.0,0.089
525.0,0.5,0.5,1.5,0.126
525.0,0.5,0.5,2.0,0.161
525.0,0.5,0.5,2.5,0.18
525.0,0.5,0.5,5.0,0.303
525.0,0.5,0.5,10.0,0.462
525.0,0.5,1.0,0.5,0.081
525.0,0.5,1.0,1.0,0.153
525.0,0.5,1.0,1.5,0.215
525.0,0.5,1.0,2.0,0.287
525.0,0.5,1.0,2.5,0.335
525.0,0.5,1.0,5.0,0.535
525.0,0.5,1.0,10.0,0.737
525.0,0.5,1.5,0.5,0.126
525.0,0.5,1.5,1.0,0.226
525.0,0.5,1.5,1.5,0.313
525.0,0.5,1.5,2.0,0.395
525.0,0.5,1.5,2.5,0.453
525.0,0.5,1.5,5.0,0.675
525.0,0.5,1.5,10.0,0.879
525.0,1.0,0.5,0.5,0.039
525.0,1.0,0.5,1.0,0.07
525.0,1.0,0.5,1.5,0.121
525.0,1.0,0.5,2.0,0.148
525.0,1.0,0.5,2.5,0.174
525.0,1.0,0.5,5.0,0.266
525.0,1.0,0.5,10.0,0.37
525.0,1.0,1.0,0.5,0.077
525.0,1.0,1.0,1.0,0.161
525.0,1.0,1.0,1.5,0.22
525.0,1.0,1.0,2.0,0.256
525.0,1.0,1.0,2.5,0.302
525.0,1.0,1.0,5.0,0.479
525.0,1.0,1.0,10.0,0.647
525.0,1.0,1.5,0.5,0.117
525.0,1.0,1.5,1.0,0.221
525.0,1.0,1.5,1.5,0.3
525.0,1.0,1.5,2.0,0.367
525.0,1.0,1.5,2.5,0.435
525.0,1.0,1.5,5.0,0.637
525.0,1.0,1.5,10.0,0.809
525.0,1.5,0.5,0.5,0.039
525.0,1.5,0.5,1.0,0.078
525.0,1.5,0.5,1.5,0.098
525.0,1.5,0.5,2.0,0.137
525.0,1.5,0.5,2.5,0.146
525.0,1.5,0.5,5.0,0.235
525.0,1.5,0.5,10.0,0.299
525.0,1.5,1.0,0.5,0.083
525.0,1.5,1.0,1.0,0.146
525.0,1.5,1.0,1.5,0.197
525.0,1.5,1.0,2.0,0.25
525.0,1.5,1.0,2.5,0.285
525.0,1.5,1.0,5.0,0.417
525.0,1.5,1.0,10.0,0.55
525.0,1.5,1.5,0.5,0.115
525.0,1.5,1.5,1.0,0.213
525.0,1.5,1.5,1.5,0.288
525.0,1.5,1.5,2.0,0.356
525.0,1.5,1.5,2.5,0.393
525.0,1.5,1.5,5.0,0.565
525.0,1.5,1.5,10.0,0.727
