VFR,CAin,CBin,CYin,CZin,CYout
50.0,1.0,2.5,2.5,1.0,3.41
50.0,1.0,2.5,2.5,2.5,3.31
50.0,1.0,2.5,2.5,5.0,3.13
50.0,1.0,2.5,5.0,0.5,5.96
50.0,1.0,2.5,5.0,1.0,5.91
50.0,1.0,2.5,5.0,2.5,5.81
50.0,1.0,2.5,5.0,5.0,5.62
50.0,1.0,5.0,0.5,0.5,1.48
50.0,1.0,5.0,0.5,1.0,1.46
50.0,1.0,5.0,0.5,2.5,1.41
50.0,1.0,5.0,0.5,5.0,1.27
50.0,1.0,5.0,1.0,0.5,1.99
50.0,1.0,5.0,1.0,1.0,1.97
50.0,1.0,5.0,1.0,2.5,1.9
50.0,1.0,5.0,1.0,5.0,1.78
50.0,1.0,5.0,2.5,0.5,3.48
50.0,1.0,5.0,2.5,1.0,3.47
50.0,1.0,5.0,2.5,2.5,3.4
50.0,1.0,5.0,2.5,5.0,3.27
50.0,1.0,5.0,5.0,0.5,5.99
50.0,1.0,5.0,5.0,1.0,5.97
50.0,1.0,5.0,5.0,2.5,5.92
50.0,1.0,5.0,5.0,5.0,5.78
50.0,2.5,0.5,0.5,0.5,0.98
50.0,2.5,0.5,0.5,1.0,0.97
50.0,2.5,0.5,0.5,2.5,0.94
50.0,2.5,0.5,0.5,5.0,0.84
50.0,2.5,0.5,1.0,0.5,1.49
50.0,2.5,0.5,1.0,1.0,1.48
50.0,2.5,0.5,1.0,2.5,1.43
50.0,2.5,0.5,1.0,5.0,1.34
50.0,2.5,0.5,2.5,0.5,2.98
50.0,2.5,0.5,2.5,1.0,2.98
50.0,2.5,0.5,2.5,2.5,2.92
50.0,2.5,0.5,2.5,5.0,2.84
50.0,2.5,0.5,5.0,0.5,5.49
50.0,2.5,0.5,5.0,1.0,5.49
50.0,2.5,0.5,5.0,2.5,5.44
50.0,2.5,0.5,5.0,5.0,5.33
50.0,2.5,1.0,0.5,0.5,1.45
50.0,2.5,1.0,0.5,1.0,1.41
50.0,2.5,1.0,0.5,2.5,1.32
50.0,2.5,1.0,0.5,5.0,1.13
50.0,2.5,1.0,1.0,0.5,1.94
50.0,2.5,1.0,1.0,1.0,1.93
50.0,2.5,1.0,1.0,2.5,1.8
50.0,2.5,1.0,1.0,5.0,1.62
50.0,2.5,1.0,2.5,0.5,3.45
50.0,2.5,1.0,2.5,1.0,3.42
50.0,2.5,1.0,2.5,2.5,3.31
50.0,2.5,1.0,2.5,5.0,3.13
50.0,2.5,1.0,5.0,0.5,5.95
50.0,2.5,1.0,5.0,1.0,5.92
50.0,2.5,1.0,5.0,2.5,5.81
50.0,2.5,1.0,5.0,5.0,5.61
50.0,2.5,2.5,0.5,0.5,2.38
50.0,2.5,2.5,0.5,1.0,2.29
50.0,2.5,2.5,0.5,2.5,2.04
50.0,2.5,2.5,0.5,5.0,1.71
50.0,2.5,2.5,1.0,0.5,2.88
50.0,2.5,2.5,1.0,1.0,2.8
50.0,2.5,2.5,1.0,2.5,2.55
50.0,2.5,2.5,1.0,5.0,2.2
50.0,2.5,2.5,2.5,0.5,4.37
50.0,2.5,2.5,2.5,1.0,4.3
50.0,2.5,2.5,2.5,2.5,4.04
50.0,2.5,2.5,2.5,5.0,3.71
50.0,2.5,2.5,5.0,0.5,6.88
50.0,2.5,2.5,5.0,1.0,6.79
50.0,2.5,2.5,5.0,2.5,6.53
50.0,2.5,2.5,5.0,5.0,6.2
50.0,2.5,5.0,0.5,0.5,2.76
50.0,2.5,5.0,0.5,1.0,2.71
50.0,2.5,5.0,0.5,2.5,2.51
50.0,2.5,5.0,0.5,5.0,2.17
50.0,2.5,5.0,1.0,0.5,3.27
50.0,2.5,5.0,1.0,1.0,3.21
50.0,2.5,5.0,1.0,2.5,3.0
50.0,2.5,5.0,1.0,5.0,2.68
50.0,2.5,5.0,2.5,0.5,4.78
50.0,2.5,5.0,2.5,1.0,4.71
50.0,2.5,5.0,2.5,2.5,4.5
50.0,2.5,5.0,2.5,5.0,4.19
50.0,2.5,5.0,5.0,0.5,7.27
50.0,2.5,5.0,5.0,1.0,7.21
50.0,2.5,5.0,5.0,2.5,7.01
50.0,2.5,5.0,5.0,5.0,6.68
50.0,5.0,0.5,0.5,0.5,0.99
50.0,5.0,0.5,0.5,1.0,0.98
50.0,5.0,0.5,0.5,2.5,0.96
50.0,5.0,0.5,0.5,5.0,0.9
50.0,5.0,0.5,1.0,0.5,1.49
50.0,5.0,0.5,1.0,1.0,1.5
50.0,5.0,0.5,1.0,2.5,1.47
50.0,5.0,0.5,1.0,5.0,1.4
50.0,5.0,0.5,2.5,0.5,2.99
50.0,5.0,0.5,2.5,1.0,2.99
50.0,5.0,0.5,2.5,2.5,2.97
50.0,5.0,0.5,2.5,5.0,2.91
50.0,5.0,0.5,5.0,0.5,5.5
50.0,5.0,0.5,5.0,1.0,5.48
50.0,5.0,0.5,5.0,2.5,5.46
50.0,5.0,0.5,5.0,5.0,5.4
50.0,5.0,1.0,0.5,0.5,1.47
50.0,5.0,1.0,0.5,1.0,1.47
50.0,5.0,1.0,0.5,2.5,1.4
50.0,5.0,1.0,0.5,5.0,1.27
50.0,5.0,1.0,1.0,0.5,1.97
50.0,5.0,1.0,1.0,1.0,1.96
50.0,5.0,1.0,1.0,2.5,1.91
50.0,5.0,1.0,1.0,5.0,1.78
50.0,5.0,1.0,2.5,0.5,3.47
50.0,5.0,1.0,2.5,1.0,3.47
50.0,5.0,1.0,2.5,2.5,3.4
50.0,5.0,1.0,2.5,5.0,3.29
50.0,5.0,1.0,5.0,0.5,5.99
50.0,5.0,1.0,5.0,1.0,5.96
50.0,5.0,1.0,5.0,2.5,5.9
50.0,5.0,1.0,5.0,5.0,5.77
50.0,5.0,2.5,0.5,0.5,2.76
50.0,5.0,2.5,0.5,1.0,2.7
50.0,5.0,2.5,0.5,2.5,2.51
50.0,5.0,2.5,0.5,5.0,2.17
50.0,5.0,2.5,1.0,0.5,3.27
50.0,5.0,2.5,1.0,1.0,3.2
50.0,5.0,2.5,1.0,2.5,3.01
50.0,5.0,2.5,1.0,5.0,2.67
50.0,5.0,2.5,2.5,0.5,4.78
50.0,5.0,2.5,2.5,1.0,4.7
50.0,5.0,2.5,2.5,2.5,4.52
50.0,5.0,2.5,2.5,5.0,4.18
50.0,5.0,2.5,5.0,0.5,7.27
50.0,5.0,2.5,5.0,1.0,7.22
50.0,5.0,2.5,5.0,2.5,7.01
50.0,5.0,2.5,5.0,5.0,6.69
50.0,5.0,5.0,0.5,0.5,4.05
50.0,5.0,5.0,0.5,1.0,3.94
50.0,5.0,5.0,0.5,2.5,3.61
50.0,5.0,5.0,0.5,5.0,3.14
50.0,5.0,5.0,1.0,0.5,4.54
50.0,5.0,5.0,1.0,1.0,4.44
50.0,5.0,5.0,1.0,2.5,4.12
50.0,5.0,5.0,1.0,5.0,3.64
50.0,5.0,5.0,2.5,0.5,6.04
50.0,5.0,5.0,2.5,1.0,5.94
50.0,5.0,5.0,2.5,2.5,5.62
50.0,5.0,5.0,2.5,5.0,5.14
50.0,5.0,5.0,5.0,0.5,8.55
50.0,5.0,5.0,5.0,1.0,8.43
50.0,5.0,5.0,5.0,2.5,8.11
50.0,5.0,5.0,5.0,5.0,7.65
100.0,0.5,0.5,0.5,0.5,0.85
100.0,0.5,0.5,0.5,1.0,0.81
100.0,0.5,0.5,0.5,2.5,0.69
100.0,0.5,0.5,0.5,5.0,0.58
100.0,0.5,0.5,1.0,0.5,1.36
100.0,0.5,0.5,1.0,1.0,1.3
100.0,0.5,0.5,1.0,2.5,1.19
100.0,0.5,0.5,1.0,5.0,1.09
100.0,0.5,0.5,2.5,0.5,2.86
100.0,0.5,0.5,2.5,1.0,2.8
100.0,0.5,0.5,2.5,2.5,2.69
100.0,0.5,0.5,2.5,5.0,2.59
100.0,0.5,0.5,5.0,0.5,5.35
100.0,0.5,0.5,5.0,1.0,5.31
100.0,0.5,0.5,5.0,2.5,5.19
100.0,0.5,0.5,5.0,5.0,5.09
100.0,0.5,1.0,0.5,0.5,0.94
100.0,0.5,1.0,0.5,1.0,0.91
100.0,0.5,1.0,0.5,2.5,0.77
100.0,0.5,1.0,0.5,5.0,0.65
100.0,0.5,1.0,1.0,0.5,1.44
100.0,0.5,1.0,1.0,1.0,1.4
100.0,0.5,1.0,1.0,2.5,1.28
100.0,0.5,1.0,1.0,5.0,1.15
100.0,0.5,1.0,2.5,0.5,2.95
100.0,0.5,1.0,2.5,1.0,2.91
100.0,0.5,1.0,2.5,2.5,2.77
100.0,0.5,1.0,2.5,5.0,2.65
100.0,0.5,1.0,5.0,0.5,5.44
100.0,0.5,1.0,5.0,1.0,5.4
100.0,0.5,1.0,5.0,2.5,5.27
100.0,0.5,1.0,5.0,5.0,5.16
100.0,0.5,2.5,0.5,0.5,0.99
100.0,0.5,2.5,0.5,1.0,0.97
100.0,0.5,2.5,0.5,2.5,0.89
100.0,0.5,2.5,0.5,5.0,0.76
100.0,0.5,2.5,1.0,0.5,1.47
100.0,0.5,2.5,1.0,1.0,1.47
100.0,0.5,2.5,1.0,2.5,1.38
100.0,0.5,2.5,1.0,5.0,1.26
100.0,0.5,2.5,2.5,0.5,2.98
100.0,0.5,2.5,2.5,1.0,2.96
100.0,0.5,2.5,2.5,2.5,2.89
100.0,0.5,2.5,2.5,5.0,2.76
100.0,0.5,2.5,5.0,0.5,5.49
100.0,0.5,2.5,5.0,1.0,5.46
100.0,0.5,2.5,5.0,2.5,5.39
100.0,0.5,2.5,5.0,5.0,5.26
100.0,0.5,5.0,0.5,0.5,0.99
100.0,0.5,5.0,0.5,1.0,0.98
100.0,0.5,5.0,0.5,2.5,0.95
100.0,0.5,5.0,0.5,5.0,0.84
100.0,0.5,5.0,1.0,0.5,1.48
100.0,0.5,5.0,1.0,1.0,1.48
100.0,0.5,5.0,1.0,2.5,1.43
100.0,0.5,5.0,1.0,5.0,1.34
100.0,0.5,5.0,2.5,0.5,2.99
100.0,0.5,5.0,2.5,1.0,2.99
100.0,0.5,5.0,2.5,2.5,2.95
100.0,0.5,5.0,2.5,5.0,2.84
100.0,0.5,5.0,5.0,0.5,5.49
100.0,0.5,5.0,5.0,1.0,5.48
100.0,0.5,5.0,5.0,2.5,5.43
100.0,0.5,5.0,5.0,5.0,5.35
100.0,1.0,0.5,0.5,0.5,0.96
100.0,1.0,0.5,0.5,1.0,0.9
100.0,1.0,0.5,0.5,2.5,0.78
100.0,1.0,0.5,0.5,5.0,0.65
100.0,1.0,0.5,1.0,0.5,1.46
100.0,1.0,0.5,1.0,1.0,1.4
100.0,1.0,0.5,1.0,2.5,1.27
100.0,1.0,0.5,1.0,5.0,1.15
100.0,1.0,0.5,2.5,0.5,2.95
100.0,1.0,0.5,2.5,1.0,2.91
100.0,1.0,0.5,2.5,2.5,2.78
100.0,1.0,0.5,2.5,5.0,2.65
100.0,1.0,0.5,5.0,0.5,5.46
100.0,1.0,0.5,5.0,1.0,5.4
100.0,1.0,0.5,5.0,2.5,5.28
100.0,1.0,0.5,5.0,5.0,5.15
100.0,1.0,1.0,0.5,0.5,1.21
100.0,1.0,1.0,0.5,1.0,1.15
100.0,1.0,1.0,0.5,2.5,0.95
100.0,1.0,1.0,0.5,5.0,0.76
100.0,1.0,1.0,1.0,0.5,1.72
100.0,1.0,1.0,1.0,1.0,1.64
100.0,1.0,1.0,1.0,2.5,1.47
100.0,1.0,1.0,1.0,5.0,1.26
100.0,1.0,1.0,2.5,0.5,3.22
100.0,1.0,1.0,2.5,1.0,3.14
100.0,1.0,1.0,2.5,2.5,2.96
100.0,1.0,1.0,2.5,5.0,2.76
100.0,1.0,1.0,5.0,0.5,5.73
100.0,1.0,1.0,5.0,1.0,5.64
100.0,1.0,1.0,5.0,2.5,5.46
100.0,1.0,1.0,5.0,5.0,5.26
100.0,1.0,2.5,0.5,0.5,1.42
100.0,1.0,2.5,0.5,1.0,1.37
100.0,1.0,2.5,0.5,2.5,1.21
100.0,1.0,2.5,0.5,5.0,0.98
100.0,1.0,2.5,1.0,0.5,1.92
100.0,1.0,2.5,1.0,1.0,1.86
100.0,1.0,2.5,1.0,2.5,1.7
100.0,1.0,2.5,1.0,5.0,1.48
100.0,1.0,2.5,2.5,0.5,3.41
100.0,1.0,2.5,2.5,1.0,3.37
100.0,1.0,2.5,2.5,2.5,3.2
100.0,1.0,2.5,2.5,5.0,2.99
100.0,1.0,2.5,5.0,0.5,5.92
100.0,1.0,2.5,5.0,1.0,5.87
100.0,1.0,2.5,5.0,2.5,5.71
100.0,1.0,2.5,5.0,5.0,5.49
100.0,1.0,5.0,0.5,0.5,1.46
100.0,1.0,5.0,0.5,1.0,1.44
100.0,1.0,5.0,0.5,2.5,1.33
100.0,1.0,5.0,0.5,5.0,1.16
100.0,1.0,5.0,1.0,0.5,1.96
100.0,1.0,5.0,1.0,1.0,1.94
100.0,1.0,5.0,1.0,2.5,1.83
100.0,1.0,5.0,1.0,5.0,1.64
100.0,1.0,5.0,2.5,0.5,3.46
100.0,1.0,5.0,2.5,1.0,3.43
100.0,1.0,5.0,2.5,2.5,3.33
100.0,1.0,5.0,2.5,5.0,3.16
100.0,1.0,5.0,5.0,0.5,5.95
100.0,1.0,5.0,5.0,1.0,5.95
100.0,1.0,5.0,5.0,2.5,5.84
100.0,1.0,5.0,5.0,5.0,5.65
100.0,2.5,0.5,0.5,0.5,0.99
100.0,2.5,0.5,0.5,1.0,0.96
100.0,2.5,0.5,0.5,2.5,0.88
100.0,2.5,0.5,0.5,5.0,0.77
100.0,2.5,0.5,1.0,0.5,1.48
100.0,2.5,0.5,1.0,1.0,1.47
100.0,2.5,0.5,1.0,2.5,1.38
100.0,2.5,0.5,1.0,5.0,1.26
100.0,2.5,0.5,2.5,0.5,2.99
100.0,2.5,0.5,2.5,1.0,2.96
100.0,2.5,0.5,2.5,2.5,2.89
100.0,2.5,0.5,2.5,5.0,2.76
100.0,2.5,0.5,5.0,0.5,5.48
100.0,2.5,0.5,5.0,1.0,5.47
100.0,2.5,0.5,5.0,2.5,5.39
100.0,2.5,0.5,5.0,5.0,5.26
100.0,2.5,1.0,0.5,0.5,1.41
100.0,2.5,1.0,0.5,1.0,1.36
100.0,2.5,1.0,0.5,2.5,1.21
100.0,2.5,1.0,0.5,5.0,0.99
100.0,2.5,1.0,1.0,0.5,1.91
100.0,2.5,1.0,1.0,1.0,1.87
100.0,2.5,1.0,1.0,2.5,1.7
100.0,2.5,1.0,1.0,5.0,1.48
100.0,2.5,1.0,2.5,0.5,3.41
100.0,2.5,1.0,2.5,1.0,3.36
100.0,2.5,1.0,2.5,2.5,3.2
100.0,2.5,1.0,2.5,5.0,2.98
100.0,2.5,1.0,5.0,0.5,5.91
100.0,2.5,1.0,5.0,1.0,5.86
100.0,2.5,1.0,5.0,2.5,5.71
100.0,2.5,1.0,5.0,5.0,5.48
100.0,2.5,2.5,0.5,0.5,2.21
100.0,2.5,2.5,0.5,1.0,2.11
100.0,2.5,2.5,0.5,2.5,1.81
100.0,2.5,2.5,0.5,5.0,1.44
100.0,2.5,2.5,1.0,0.5,2.72
100.0,2.5,2.5,1.0,1.0,2.6
100.0,2.5,2.5,1.0,2.5,2.32
100.0,2.5,2.5,1.0,5.0,1.94
100.0,2.5,2.5,2.5,0.5,4.22
100.0,2.5,2.5,2.5,1.0,4.1
100.0,2.5,2.5,2.5,2.5,3.82
100.0,2.5,2.5,2.5,5.0,3.44
100.0,2.5,2.5,5.0,0.5,6.71
100.0,2.5,2.5,5.0,1.0,6.61
100.0,2.5,2.5,5.0,2.5,6.33
100.0,2.5,2.5,5.0,5.0,5.95
100.0,2.5,5.0,0.5,0.5,2.62
100.0,2.5,5.0,0.5,1.0,2.54
100.0,2.5,5.0,0.5,2.5,2.28
100.0,2.5,5.0,0.5,5.0,1.89
100.0,2.5,5.0,1.0,0.5,3.14
100.0,2.5,5.0,1.0,1.0,3.03
100.0,2.5,5.0,1.0,2.5,2.78
100.0,2.5,5.0,1.0,5.0,2.38
100.0,2.5,5.0,2.5,0.5,4.63
100.0,2.5,5.0,2.5,1.0,4.54
100.0,2.5,5.0,2.5,2.5,4.27
100.0,2.5,5.0,2.5,5.0,3.88
100.0,2.5,5.0,5.0,0.5,7.13
100.0,2.5,5.0,5.0,1.0,7.04
100.0,2.5,5.0,5.0,2.5,6.78
100.0,2.5,5.0,5.0,5.0,6.38
100.0,5.0,0.5,0.5,0.5,0.99
100.0,5.0,0.5,0.5,1.0,0.98
100.0,5.0,0.5,0.5,2.5,0.93
100.0,5.0,0.5,0.5,5.0,0.84
100.0,5.0,0.5,1.0,0.5,1.49
100.0,5.0,0.5,1.0,1.0,1.48
100.0,5.0,0.5,1.0,2.5,1.45
100.0,5.0,0.5,1.0,5.0,1.35
100.0,5.0,0.5,2.5,0.5,3.0
100.0,5.0,0.5,2.5,1.0,2.98
100.0,5.0,0.5,2.5,2.5,2.93
100.0,5.0,0.5,2.5,5.0,2.84
100.0,5.0,0.5,5.0,0.5,5.49
100.0,5.0,0.5,5.0,1.0,5.48
100.0,5.0,0.5,5.0,2.5,5.44
100.0,5.0,0.5,5.0,5.0,5.35
100.0,5.0,1.0,0.5,0.5,1.46
100.0,5.0,1.0,0.5,1.0,1.43
100.0,5.0,1.0,0.5,2.5,1.33
100.0,5.0,1.0,0.5,5.0,1.16
100.0,5.0,1.0,1.0,0.5,1.97
100.0,5.0,1.0,1.0,1.0,1.94
100.0,5.0,1.0,1.0,2.5,1.85
100.0,5.0,1.0,1.0,5.0,1.66
100.0,5.0,1.0,2.5,0.5,3.46
100.0,5.0,1.0,2.5,1.0,3.44
100.0,5.0,1.0,2.5,2.5,3.33
100.0,5.0,1.0,2.5,5.0,3.15
100.0,5.0,1.0,5.0,0.5,5.97
100.0,5.0,1.0,5.0,1.0,5.93
100.0,5.0,1.0,5.0,2.5,5.83
100.0,5.0,1.0,5.0,5.0,5.65
100.0,5.0,2.5,0.5,0.5,2.63
100.0,5.0,2.5,0.5,1.0,2.55
100.0,5.0,2.5,0.5,2.5,2.28
100.0,5.0,2.5,0.5,5.0,1.89
100.0,5.0,2.5,1.0,0.5,3.13
100.0,5.0,2.5,1.0,1.0,3.03
100.0,5.0,2.5,1.0,2.5,2.77
100.0,5.0,2.5,1.0,5.0,2.39
100.0,5.0,2.5,2.5,0.5,4.62
100.0,5.0,2.5,2.5,1.0,4.55
100.0,5.0,2.5,2.5,2.5,4.27
100.0,5.0,2.5,2.5,5.0,3.87
100.0,5.0,2.5,5.0,0.5,7.13
100.0,5.0,2.5,5.0,1.0,7.04
100.0,5.0,2.5,5.0,2.5,6.78
100.0,5.0,2.5,5.0,5.0,6.37
100.0,5.0,5.0,0.5,0.5,3.71
100.0,5.0,5.0,0.5,1.0,3.59
100.0,5.0,5.0,0.5,2.5,3.2
100.0,5.0,5.0,0.5,5.0,2.66
100.0,5.0,5.0,1.0,0.5,4.2
100.0,5.0,5.0,1.0,1.0,4.08
100.0,5.0,5.0,1.0,2.5,3.7
100.0,5.0,5.0,1.0,5.0,3.17
100.0,5.0,5.0,2.5,0.5,5.72
100.0,5.0,5.0,2.5,1.0,5.58
100.0,5.0,5.0,2.5,2.5,5.2
100.0,5.0,5.0,2.5,5.0,4.67
100.0,5.0,5.0,5.0,0.5,8.21
100.0,5.0,5.0,5.0,1.0,8.07
100.0,5.0,5.0,5.0,2.5,7.69
100.0,5.0,5.0,5.0,5.0,7.17
