T,PA0,tf,Pf
250.0,2.0,10.0,4.97
250.0,2.0,11.0,4.96
250.0,2.0,12.0,4.83
250.0,2.0,13.0,4.86
250.0,2.0,14.0,4.75
250.0,2.0,15.0,4.76
250.0,2.0,16.0,4.73
250.0,2.0,17.0,4.67
250.0,2.0,18.0,4.58
250.0,2.0,19.0,4.58
250.0,2.0,20.0,4.54
250.0,2.0,21.0,4.48
250.0,2.0,22.0,4.48
250.0,2.0,23.0,4.42
250.0,2.0,24.0,4.45
250.0,3.0,1.0,5.78
250.0,3.0,2.0,5.68
250.0,3.0,3.0,5.45
250.0,3.0,4.0,5.32
250.0,3.0,5.0,5.18
250.0,3.0,6.0,5.06
250.0,3.0,7.0,4.98
250.0,3.0,8.0,4.87
250.0,3.0,9.0,4.8
250.0,3.0,10.0,4.71
250.0,3.0,11.0,4.61
250.0,3.0,12.0,4.55
250.0,3.0,13.0,4.46
250.0,3.0,14.0,4.43
250.0,3.0,15.0,4.36
250.0,3.0,16.0,4.33
250.0,3.0,17.0,4.29
250.0,3.0,18.0,4.19
250.0,3.0,19.0,4.13
250.0,3.0,20.0,4.13
250.0,3.0,21.0,4.09
250.0,3.0,22.0,3.99
250.0,3.0,23.0,4.02
250.0,3.0,24.0,3.96
250.0,4.0,1.0,5.77
250.0,4.0,2.0,5.57
250.0,4.0,3.0,5.45
250.0,4.0,4.0,5.3
250.0,4.0,5.0,5.18
250.0,4.0,6.0,5.01
250.0,4.0,7.0,4.93
250.0,4.0,8.0,4.84
250.0,4.0,9.0,4.77
250.0,4.0,10.0,4.63
250.0,4.0,11.0,4.58
250.0,4.0,12.0,4.49
250.0,4.0,13.0,4.49
250.0,4.0,14.0,4.34
250.0,4.0,15.0,4.31
250.0,4.0,16.0,4.26
250.0,4.0,17.0,4.24
250.0,4.0,18.0,4.2
250.0,4.0,19.0,4.15
250.0,4.0,20.0,4.09
250.0,4.0,21.0,4.08
250.0,4.0,22.0,4.12
250.0,4.0,23.0,4.06
250.0,4.0,24.0,4.04
275.0,2.0,1.0,5.78
275.0,2.0,2.0,5.55
275.0,2.0,3.0,5.35
275.0,2.0,4.0,5.17
275.0,2.0,5.0,5.06
275.0,2.0,6.0,4.87
275.0,2.0,7.0,4.81
275.0,2.0,8.0,4.71
275.0,2.0,9.0,4.62
275.0,2.0,10.0,4.59
275.0,2.0,11.0,4.49
275.0,2.0,12.0,4.45
275.0,2.0,13.0,4.35
275.0,2.0,14.0,4.31
275.0,2.0,15.0,4.31
275.0,2.0,16.0,4.33
275.0,2.0,17.0,4.3
275.0,2.0,18.0,4.24
275.0,2.0,19.0,4.16
275.0,2.0,20.0,4.14
275.0,2.0,21.0,4.2
275.0,2.0,22.0,4.15
275.0,2.0,23.0,4.15
275.0,2.0,24.0,4.14
275.0,3.0,1.0,5.62
275.0,3.0,2.0,5.32
275.0,3.0,3.0,5.09
275.0,3.0,4.0,4.88
275.0,3.0,5.0,4.78
275.0,3.0,6.0,4.57
275.0,3.0,7.0,4.4
275.0,3.0,8.0,4.35
275.0,3.0,9.0,4.22
275.0,3.0,10.0,4.1
275.0,3.0,11.0,4.06
275.0,3.0,12.0,3.94
275.0,3.0,13.0,3.87
275.0,3.0,14.0,3.87
275.0,3.0,15.0,3.78
275.0,3.0,16.0,3.79
275.0,3.0,17.0,3.69
275.0,3.0,18.0,3.66
275.0,3.0,19.0,3.65
275.0,3.0,20.0,3.56
275.0,3.0,21.0,3.57
275.0,3.0,22.0,3.51
275.0,3.0,23.0,3.5
275.0,3.0,24.0,3.43
275.0,4.0,1.0,5.66
275.0,4.0,2.0,5.32
275.0,4.0,3.0,5.03
275.0,4.0,4.0,4.86
275.0,4.0,5.0,4.69
275.0,4.0,6.0,4.54
275.0,4.0,7.0,4.37
275.0,4.0,8.0,4.32
275.0,4.0,9.0,4.2
275.0,4.0,10.0,4.18
275.0,4.0,11.0,4.05
275.0,4.0,12.0,4.02
275.0,4.0,13.0,4.0
275.0,4.0,14.0,3.99
275.0,4.0,15.0,3.97
275.0,4.0,16.0,3.96
275.0,4.0,17.0,3.95
275.0,4.0,18.0,3.97
275.0,4.0,19.0,3.97
275.0,4.0,20.0,3.97
275.0,4.0,21.0,4.01
275.0,4.0,22.0,4.03
275.0,4.0,23.0,3.97
275.0,4.0,24.0,4.02
